scale,date,home_team,away_team,match_index,outcome,probability,decimal_odds,full_kelly_fraction,scaled_fraction,stake,won,profit,bankroll_before_match
0.1,2026-06-17,Uzbekistan,Colombia,24,draw,0.210953027009964,5.0,0.013691283762454987,0.0013691283762454988,0.1305080832924898,False,-0.1305080832924898,95.32202060582254
0.1,2026-06-17,Uzbekistan,Colombia,24,home,0.1271994560956955,10.0,0.030221617884106107,0.003022161788410611,0.28807856826900574,False,-0.28807856826900574,95.32202060582254
0.1,2026-06-18,Canada,Qatar,25,draw,0.17691588401794434,6.0,0.012299060821533203,0.0012299060821533204,0.11672231063758161,False,-0.11672231063758161,94.90343395426105
0.1,2026-06-18,Canada,Qatar,25,away,0.11757104098796844,12.0,0.037350226532329216,0.003735022653232922,0.35446647568875944,False,-0.35446647568875944,94.90343395426105
0.1,2026-06-18,Czech Republic,South Africa,26,away,0.23860323429107666,4.33,0.009955556901009589,0.000995555690100959,0.09401255900594618,False,-0.09401255900594618,94.43224516793471
0.1,2026-06-18,Mexico,South Korea,27,away,0.2852683663368225,4.0,0.04702448844909668,0.004702448844909668,0.44362071296267663,False,-0.44362071296267663,94.33823260892876
0.1,2026-06-18,Switzerland,Bosnia and Herzegovina,28,home,0.6940310597419739,1.5,0.08209317922592163,0.008209317922592163,0.7708107202723896,True,0.3854053601361948,93.89461189596608
0.1,2026-06-19,Brazil,Haiti,29,draw,0.1163063794374466,10.5,0.023285998325598866,0.0023285998325598867,0.21954043239630297,False,-0.21954043239630297,94.28001725610227
0.1,2026-06-19,Brazil,Haiti,29,away,0.06176772341132164,21.0,0.014856109581887721,0.0014856109581887723,0.14006342677389208,False,-0.14006342677389208,94.28001725610227
0.1,2026-06-19,Scotland,Morocco,30,home,0.20014484226703644,5.5,0.0223992516597112,0.0022399251659711203,0.2103746975661993,False,-0.2103746975661993,93.92041339693208
0.1,2026-06-19,Turkey,Paraguay,31,away,0.31995803117752075,3.75,0.07267004251480103,0.007267004251480103,0.6809912496346568,True,1.8727259364953064,93.71003869936588
0.1,2026-06-19,United States,Australia,32,draw,0.25669583678245544,4.33,0.03348137335376339,0.003348137335376339,0.320024222895816,False,-0.320024222895816,95.58276463586118
0.1,2026-06-19,United States,Australia,32,away,0.3743690848350525,5.75,0.24265731322137932,0.024265731322137933,2.3193856856809547,False,-2.3193856856809547,95.58276463586118
0.1,2026-06-20,Ecuador,Curaçao,33,draw,0.14409060776233673,8.0,0.02181783744267055,0.002181783744267055,0.2027823004816357,True,1.41947610337145,92.94335472728442
0.1,2026-06-20,Ecuador,Curaçao,33,away,0.06899173557758331,15.0,0.002491145261696407,0.0002491145261696407,0.023153539773504293,False,-0.023153539773504293,92.94335472728442
0.1,2026-06-20,Germany,Ivory Coast,34,away,0.17123129963874817,6.5,0.020546081391247837,0.0020546081391247836,0.1938310688042524,False,-0.1938310688042524,94.33967729088236
0.1,2026-06-21,Belgium,Iran,37,draw,0.24213050305843353,4.5,0.02559636107512883,0.002559636107512883,0.24097910736238645,True,0.8434268757683526,94.1458462220781
0.1,2026-06-21,Belgium,Iran,37,away,0.2527589797973633,8.5,0.15312684377034505,0.015312684377034506,1.4416256286075084,False,-1.4416256286075084,94.1458462220781
0.1,2026-06-21,New Zealand,Egypt,38,home,0.33096373081207275,5.5,0.1822890043258667,0.01822890043258667,1.7052707514194754,False,-1.7052707514194754,93.54764746923895
0.1,2026-06-21,Spain,Saudi Arabia,39,draw,0.13314707577228546,11.0,0.04646178334951401,0.004646178334951401,0.4267160609367778,False,-0.4267160609367778,91.84237671781948
0.1,2026-06-21,Spain,Saudi Arabia,39,away,0.06076432019472122,21.0,0.013802536204457283,0.0013802536204457283,0.1267657729751108,False,-0.1267657729751108,91.84237671781948
